,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
99,0.0,0.0,0.0,-6.832756916898551e-06,2.362927732570286,0.0,0.0,20.95219117082447,-2.242625807386475,1.4602714560718808,-10.109242055512043,0.0,3.2280523912006456,-0.18717835165246446,0.0,0.0,-0.05024025679275755,0.0,0.20096343873230885,1.0,-10.0
100,0.0,0.0,0.0,-6.8327569168985605e-06,2.3579036466019794,0.0,0.010048171936613724,20.942142998887878,-2.24262580738648,1.460271456071883,-10.109242055512054,0.0,3.2280523912006487,-0.18717835165246421,0.0,0.0,-0.050240256792758654,0.0,0.20096343873230793,1.0,-10.0
101,0.0,2.92054291214377,0.0,-6.832756916898559e-06,6.743742100785946,0.0,0.0,13.650833890465066,-3.7028972634583663,0.0,-2.8078847751526244,0.0,0.3075094790568758,-0.18717835165246727,0.0,0.0,-0.05024025679275878,0.0,0.20096343873230885,1.0,-10.0
102,0.0,2.920542912143768,0.0,-6.832756916898553e-06,6.738718014817634,0.0,0.010048171936613358,13.640785718528436,-3.7028972634583615,0.0,-2.8078847751526212,0.0,0.3075094790568753,-0.18717835165246524,0.0,0.0,-0.05024025679275928,0.0,0.2009634387323082,1.0,-10.0
103,0.0,0.0,0.0,-6.832756916898557e-06,0.0,0.0,0.0,18.5892634382542,0.0,0.0,-8.648970599440165,-0.782354351314594,3.2280523912006482,-0.18717835165246416,0.0,0.0,-0.050240256792759695,1.3558342095145801,0.20096343873230865,1.0,-7.532635020872407
104,0.0,0.0,0.0,-6.832756916898557e-06,0.0,0.0,0.01004817193661525,18.58423935228589,0.0,0.0,-8.648970599440165,-0.782354351314594,3.2280523912006482,-0.18717835165246416,0.0,0.0,-0.050240256792759695,1.3558342095145801,0.20096343873230865,1.0,-7.537659106840715
105,0.0,0.0,0.0,-6.832756916898545e-06,0.0,0.0,0.0,18.589263438254168,0.0,0.33895855237864436,-8.987929151818793,-1.121312903693237,3.2280523912006425,-0.18717835165246624,0.0,0.0,-0.050240256792761326,0.0,0.20096343873230765,1.0,-6.515759363736478
106,0.0,0.0,0.0,-6.832756916898545e-06,0.0,0.0,0.010048171936615011,18.58423935228586,0.0,0.33895855237864436,-8.987929151818793,-1.121312903693237,3.2280523912006425,-0.18717835165246624,0.0,0.0,-0.050240256792761326,0.0,0.20096343873230765,1.0,-6.520783449704784
107,0.0,0.0,0.0,-6.832756916898541e-06,0.0,0.0,0.0,18.589263438254154,0.677917104757287,0.0,-8.648970599440142,-1.4602714560718784,3.22805239120064,-0.1871783516524668,0.0,0.0,-0.050240256792758994,0.0,0.2009634387323095,1.0,-6.176800811357838
108,0.0,0.0,0.0,-6.832756916898541e-06,0.0,0.0,0.010048171936612825,18.584239352285845,0.677917104757287,0.0,-8.648970599440142,-1.4602714560718784,3.22805239120064,-0.1871783516524668,0.0,0.0,-0.050240256792758994,0.0,0.2009634387323095,1.0,-6.1818248973261465
